domain_alexa_rank,domain,largest_public_network
156,uol.com.br,20.0.0.0/8
24938,bling.com.br,54.0.0.0/8
30426,pluraleditores.co.ao,196.0.0.0/8
59926,creativecircle.com,64.4.22.64/2
68649,uwcu.org,139.131.76.84/5
70525,blueshieldca.com,15.0.0.0/8
75404,gevestor.de,91.241.72.0/2
84794,ifsc.edu.br,54.0.0.0/8
102496,kanbanize.com,54.0.0.0/8
111219,kaernten.at,93.180.153.13/8
114280,tuningparts.com.br,189.0.0.0/8
114525,bruc.com.br,17.0.0.0/8
128265,thebrando.com,209.0.0.0/8
133034,kostbarenatur.net,80.70.204.0/8
141995,whatsonstage.com,217.174.248.161/8
171541,icguedes.pro.br,54.0.0.0/8
173099,car1.hk,203.194.138.77/8
192594,calumetphoto.de,66.50.196.112/6
195027,studioserver.com.br,107.181.135.0/4
242611,hitadouble.com,208.67.207.0/0
252547,marketsight.com,207.5.72.90/8
260363,odakitap.com,213.155.112.82/3
267315,debeersgroup.com,10.47.149.168/2
276272,mypersonalroutine.com,87.79.30.0/8
287449,sbn.org.br,54.0.0.0/8
325031,tickeri.com,208.43.239.136/3
340248,brightspark.ru,185.78.30.0/8
366874,ferias.tur.br,107.181.135.0/4
366969,floramedicinal.com.br,54.0.0.0/8
368000,jurua.com.br,54.0.0.0/8
375188,cfe.fr,82.97.62.0/2
379462,eganba.com,213.155.112.82/3
393462,adecco.com,148.105.8.0/2
400187,payukraine.com,0.0.0.0/0
403625,webhelp.com,17.0.0.0/8
478455,ymeet.me,118.68.168.0/8
495383,scrum-institute.org,69.89.18.3/4
512462,whofish.org,96.114.154.158/5
559343,test-institute.org,69.89.18.3/4
576860,idionline.org,36.0.0.1/8
605307,palador.com,52.0.0.0/8
619752,salaam.af,175.106.32.0/1
621748,pluraleditores.co.mz,196.0.0.0/8
670754,mechel.ru,212.108.98.0/8
731874,themamamaven.com,64.90.177.24/7
759160,angliss.edu.au,0.0.0.0/0
873242,hutkigrosh.by,0.0.0.0/0
