email_provider,count
Proofpoint,42310
Mimecast,36064
Deteque,34759
Barracuda,22897
Solarwinds,14681
Symantec,13832
AppRiver,11149
Protonmail,8158
Trend Micro,8055
Cisco Ironport,7504
CSC Digital Brand Services,5074
hornetsecurity,4140
Forcepoint,3954
Reflexion,3674
SpamHero,2683
Sophos,2199
Cyren,1943
Edgewave,1935
Mail in Black,1908
vadesecure,1685
Postini,1659
Securence.com,1620
fusemail,1530
Mailprotector,1326
the email laundry,1275
SecureMX,1247
MXGuarddog,1114
FireEye,981
Mcafee,974
DuoCircle,973
Fortinet,875
SpamTitan,838
BAE Systems,825
Microsoft Frontbridge,748
Symantec,696
Retarus,679
EdgeWave,524
Sonic Wall,500
AVG,403
MX Relay,349
Panda Security,340
Manage Protect,278
Censornet,245
Exchange Defender,231
Trustwave,231
Can-It Pro,210
mailchannels,192
Sendio,147
Area1,135
iBarracuda,54
Kaspersky,44
Activegate SS,37
ZixMail,25
Clearswift,4
Watchguard,2
