maxmind_asnames,domain
MICROSOFT-CORP-MSN-AS-BLOCK,486
PROOFPOINT-ASN-US-WEST,205
AMAZON-02,204
PROOFPOINT-ASN-US-EAST,204
AMAZON-AES,154
SENDGRID,134
THEROCKETSCIENCEGROUP,107
RMH-14,96
RACKSPACE,94
LVLT-3549,85
STEADFAST,78
EXACT-7,66
Rackspace Ltd.,63
NAVISITE-EAST-2,62
CENTURYLINK-LEGACY-SAVVIS,59
MARKETO,57
British Telecommunications PLC,55
OMNITURE,54
UUNET,54
ATT-INTERNET4,51
NETDYNAMICS,49
ASN-VINS,47
MIMECAST,46
Mimecast Services Limited,46
SALESFORCE,43
QUALTRICS-01,42
SRS-6-Z-7381,42
Telecitygroup International Limited,41
Amazon Data Services Ireland Ltd,37
IRONPORT-SYSTEMS-INC,32
CENTURYLINK-US-LEGACY-QWEST,32
LIGHTBOUND-AS,31
LEVEL3,31
SAP-DC-AS,30
SOFTLAYER,29
CYBERU,28
STORTEK-INT,27
Oracle Svenska AB,27
ASN-INTERNAP-BLK,26
COLO-PREM-VZB,25
TERRENAP,25
INTERNAP-BLK3,24
ORACLE-ASNBLOCK-ASN,24
GOOGLE,24
ORCL-CHICAGO1,24
ACOUSTIC-ATL-01,21
COGENT-174,20
UNIFIEDLAYER-AS-1,20
Telia Company AB,18
3N-GLOBAL,18
