index,maxmind_asname
AMAZON-02,68406
AMAZON-AES,25547
COGENT-174,15116
Hostway Deutschland GmbH,6347
"Linode, LLC",5043
ZC38-AS1,4855
DATABANK-SLC,4854
j2 Global Ireland Limited,3447
CENTURYLINK-LEGACY-SAVVIS,3446
MK Netzdienste GmbH & Co. KG,3187
USINTERNET,3153
CENTURYLINK-LEGACY-FUSEPOINT-CTS-CANADA-POP,2915
SafeBrands S.A.S.,2326
Hetzner Online GmbH,2240
J2 Global Denmark A/S,2171
Macquarie Telecom,2082
SEWAN SAS,1605
Eurafibre SAS,1591
MICROSOFT-CORP-MSN-AS-BLOCK,1350
Internet Initiative Japan Inc.,1262
Claranet Ltd,1206
SSASN2,1159
MXL-PROD,1011
COMMTOUCH-INC-2,965
COMMTOUCH-INC,948
Iomart Cloud Services Limited,792
OVH SAS,782
RCC-GRANITE-1,695
INCERO-HVVC,602
ATLANTIC-METRO-COMMUNICATIONS-II-INC,531
Host Europe GmbH,472
i3D.net B.V,393
LeaseWeb Netherlands B.V.,377
NEXTLEVELINTERNET,364
SINGLEHOP-LLC,298
Tele2 Nederland B.V.,288
ColoCenter b.v.,260
AS-30083-GO-DADDY-COM-LLC,244
OMNIS,210
LEASEWEB-USA-WDC,155
Jsr It B.v.,144
LATISYS-IRVINE,135
AS-TIERP-36024,134
GREENCLOUD,122
MULTA-ASN1,120
BCI,110
IASTATE-AS,103
Previder B.V.,99
NET10-NET,98
VIRTBIZ-DALLAS,90
VISI-AS,81
POPP-COM,77
"QUALITIA Co.,Ltd",64
ATT-INTERNET4,56
NETDOOR,54
AIS-WEST,51
HBCI-1999TA,39
NETCARRIER,38
STELLAR-ASSOCIATION,37
Amazon Data Services Ireland Ltd,35
ASN-CUST,28
Pulsant (Scotland) Ltd,28
Telecitygroup International Limited,27
TELEPAK-NETWORKS-INC,27
HURRICANE,26
British Telecommunications PLC,24
LIGHTOWER,24
NSTELCO,24
LEVEL3,22
AUREON-5056,19
CITIZENS,18
SDNW-13576,18
UUNET,18
HRTC,17
ACCESSPLUS-COMMUNICATIONS,16
SWITCH-LTD,16
Leaseweb Deutschland GmbH,14
PREMIER-COMMUNICATIONS,14
TEAMTECH-DSM,13
YUCCA-AS,12
xneelo,12
NAVISITE-EAST-2,11
WOW-DATACENTER-NET,10
CITYOFWINDOM,10
SUREWEST,9
CHIBARDUN-TEL,9
PRIMELINK,9
Leaseweb Uk Limited,8
SUCCEED-NET,8
NOROC,8
ELJY30540,8
DAKTEL-AS1,7
702COM,6
COMCAST-7922,6
TWC-10796-MIDWEST,6
AS-6620,6
TYLERVAULT,5
Virgin Media Limited,5
NETNITCO-ASN,5
WESTCO-ASN,5
DAKPRO,5
ADAMS-WELLS-INTERNET,5
SOUTHWEST-ARKANSAS-TELEPHONE-COOPERATIVE,5
CENTURYLINK-US-LEGACY-QWEST,5
QTS-SAC,5
MTCO-COMMUNICATIONS,5
ASN-VINS,4
Telstra Global,4
AS62943-BLUEBIRD-NETWORK,4
BAESYSTEMS,4
CROCKERCOM,4
CRAWKANINTERNET,4
GTMCNET,4
XPRES-PA,4
AS-WISPER,4
COTNET,3
SONICWALL-BGP,3
FJMG-AS,3
MULBERRY,3
BLEDSOE,3
ACC-1,3
BLUERIVER-ASN-0,2
IFN-NET,2
UTMA,2
SBIS-AS,2
EIDG-AS1,2
WA-K20,2
NKTC,2
PIVOT,2
MYPT-SCH,2
Pulsant Limited,2
LEASEWEB-USA-SFO-12,1
Scalair SAS,1
TWC-11426-CAROLINAS,1
Panda Security S.l.,1
PCextreme B.V.,1
NOVUS-3,1
