ips,domain
40.107.0.0/16,449
104.47.0.0/17,449
52.100.0.0/14,448
40.92.0.0/15,448
205.201.128.0/20,69
198.2.128.0/18,68
148.105.8.0/21,60
50.31.32.0/19,59
198.37.144.0/20,59
198.21.0.0/21,59
192.254.112.0/20,59
208.117.48.0/20,59
167.89.0.0/17,59
54.240.0.0/18,58
168.245.0.0/17,58
149.72.0.0/16,57
199.255.192.0/22,57
199.127.232.0/22,57
69.169.224.0/20,54
76.223.176.0/20,51
23.249.208.0/20,51
23.251.224.0/19,51
185.28.196.0/22,50
199.15.212.0/22,50
94.236.119.0/26,49
205.201.134.128/25,49
72.32.243.0/24,49
72.32.217.0/24,49
198.2.128.0/24,49
103.237.104.0/22,49
205.201.136.0/23,49
198.2.132.0/22,49
205.201.139.0/24,49
198.2.136.0/23,48
198.2.177.0/24,48
130.248.172.0/24,48
198.2.178.0/24,48
198.2.179.0/24,48
72.3.185.0/24,48
72.32.154.0/24,48
192.28.128.0/18,48
198.2.180.0/24,48
130.248.173.0/24,48
198.2.186.0/23,48
205.201.131.128/25,48
37.188.97.188/32,47
207.211.41.113/32,46
207.211.31.0/25,46
63.128.21.0/24,46
216.205.24.0/24,46
