includes_registered_domains,domain
google.com,48859
outlook.com,44033
mcsv.net,18254
mandrillapp.com,13718
sendgrid.net,11144
amazonses.com,9777
mailgun.org,9530
zendesk.com,9225
websitewelcome.com,5308
zoho.com,4638
mailchannels.net,4166
salesforce.com,3818
mailjet.com,3746
yandex.net,3745
mimecast.com,3699
secureserver.net,3083
pardot.com,2919
mailspamprotection.com,2884
ovh.com,2721
unisender.com,2552
bluehost.com,2416
pphosted.com,2306
mktomail.com,2270
registrar-servers.com,2216
sendpulse.com,2181
elasticemail.com,2107
emailsrvr.com,2072
sendinblue.com,1725
mtasv.net,1716
messagelabs.com,1698
googlemail.com,1642
sparkpostmail.com,1580
helpscoutemail.com,1536
qq.com,1517
reg.ru,1391
shopify.com,1243
hubspotemail.net,1175
,1169
dreamhost.com,1168
yandex.ru,1146
mlsend.com,1049
freshdesk.com,1037
mail.ru,1033
emsd1.com,980
stspg-customer.com,957
dynect.net,839
trustpilotservice.com,830
barracudanetworks.com,814
ukraine.com.ua,804
zcsend.net,762
